FINGERPRINT,FINGERPRINT_NO_ABBR,EXPECTED
EUROPEAN Money related Foundation (EMI),EUROPEAN Money related Foundation,EUROPEAN MONETARY INSTITUTE (EMI)
EUROPEAN People group (EC),EUROPEAN People group,EUROPEAN COMMUNITY (EC)
EUROPEAN Financial AND Money related Association (EEMU),EUROPEAN Financial AND Money related Association,EUROPEAN ECONOMIC AND MONETARY UNION (EEMU)
EUROPEAN Financial Region (EEA),EUROPEAN Financial Region,EUROPEAN ECONOMIC AREA (EEA)
EUROPEAN Streamlined commerce Affiliation (EFTA),EUROPEAN Streamlined commerce Affiliation,EUROPEAN FREE TRADE ASSOCIATION (EFTA)
EUROPEAN SECURITY AND Protection Strategy (ESDP),EUROPEAN SECURITY AND Protection Strategy,EUROPEAN SECURITY AND DEFENCE POLICY (ESDP)
EUROPEAN SOCIAL Review (ESS),EUROPEAN SOCIAL Review,EUROPEAN SOCIAL SURVEY (ESS)
EUROPEAN Qualities STUDY (EVS),EUROPEAN Qualities STUDY,EUROPEAN VALUES STUDY (EVS)
FOOD AND Rural Association (FAO),FOOD AND Rural Association,FOOD AND AGRICULTURAL ORGANIZATION (FAO)
GENERAL Settlement ON Duties AND Exchange (GATT),GENERAL Settlement ON Duties AND Exchange,GENERAL AGREEMENT ON TARIFFS AND TRADE (GATT)
GENERAL Settlement ON Exchange Administrations (GATS),GENERAL Settlement ON Exchange Administrations,GENERAL AGREEMENT ON TRADE IN SERVICES (GATS)
Gathering OF EIGHT (G8),Gathering OF EIGHT,GROUP OF EIGHT (G8)
GERMAN Humanistic Affiliation (GSA),GERMAN Humanistic Affiliation,GERMAN SOCIOLOGICAL ASSOCIATION (GSA)
Coordinated Administrations Advanced Organization (ISDN),Coordinated Administrations Advanced Organization,INTEGRATED SERVICES DIGITAL NETWORK (ISDN)
Worldwide Organization OF Worker's guilds (IFTU),Worldwide Organization OF Worker's guilds,INTERNATIONAL FEDERATION OF TRADE UNIONS (IFTU)
Worldwide Work OFFICE (ILO),Worldwide Work OFFICE,INTERNATIONAL LABOR OFFICE (ILO)
Worldwide Work Association (ILO),Worldwide Work Association,INTERNATIONAL LABOUR ORGANIZATION (ILO)
Worldwide SOCIAL Study Program (ISSP),Worldwide SOCIAL Study Program,INTERNATIONAL SOCIAL SURVEY PROGRAMME (ISSP)
Web Company FOR Allocated NAMES AND NUMBERS (ICANN),Web Company FOR Allocated NAMES AND NUMBERS,INTERNET CORPORATION FOR ASSIGNED NAMES AND NUMBERS (ICANN)
IRISH Conservative Armed force (IRA),IRISH Conservative Armed force,IRISH REPUBLICAN ARMY (IRA)
Worldwide Humanistic Affiliation (ISA),Worldwide Humanistic Affiliation,INTERNATIONAL SOCIOLOGICAL ASSOCIATION (ISA)
LIBERAL Discussion (LIF),LIBERAL Discussion,LIBERAL FORUM (LIF)
Shared Adjusted Powers Decrease (MBFR),Shared Adjusted Powers Decrease,MUTUAL BALANCED FORCES REDUCTION (MBFR)
NON-Administrative Association (NGO),NON-Administrative Association,NON-GOVERNMENTAL ORGANIZATION (NGO)
NORTH AMERICAN Streamlined commerce Affiliation (NAFTA),NORTH AMERICAN Streamlined commerce Affiliation,NORTH AMERICAN FREE TRADE ASSOCIATION (NAFTA)
Association FOR SECURITY AND Collaboration IN EUROPE (OSCE),Association FOR SECURITY AND Collaboration IN EUROPE,ORGANIZATION FOR SECURITY AND COOPERATION IN EUROPE (OSCE)
Association OF AFRICAN Solidarity (OAU),Association OF AFRICAN Solidarity,ORGANIZATION OF AFRICAN UNITY (OAU)
Association OF AMERICAN STATES (OAS),Association OF AMERICAN STATES,ORGANIZATION OF AMERICAN STATES (OAS)
Association OF Petrol Trading Nations (OPEC),Association OF Petrol Trading Nations,ORGANIZATION OF PETROLEUM EXPORTING COUNTRIES (OPEC)
PALESTINE Freedom Association (PLO),PALESTINE Freedom Association,PALESTINE LIBERATION ORGANIZATION (PLO)
PARTY OF Majority rule Communism (PDS),PARTY OF Majority rule Communism,PARTY OF DEMOCRATIC SOCIALISM (PDS)
Program FOR Worldwide Understudy Evaluation (PISA),Program FOR Worldwide Understudy Evaluation,PROGRAMME FOR INTERNATIONAL STUDENT ASSESSMENT (PISA)
RED ARMEE Portion (RAF),RED ARMEE Portion,RED ARMEE FRACTION (RAF)
SHORT MESSAGE Administration (SMS),SHORT MESSAGE Administration,SHORT MESSAGE SERVICE (SMS)
Financial Board (SOEP),Financial Board,SOCIO-ECONOMIC PANEL (SOEP)
SOUTHERN AFRICA Improvement People group (SADC),SOUTHERN AFRICA Improvement People group,SOUTHERN AFRICA DEVELOPMENT COMMUNITY (SADC)
Vital Guard Drive (SDI),Vital Guard Drive,STRATEGIC DEFENSE INITIATIVE (SDI)
SWISS Telecom Organization (SRG),SWISS Telecom Organization,SWISS BROADCASTING COMPANY (SRG)
Joined Countries HIGH Official FOR Outcasts (UNHCR),Joined Countries HIGH Official FOR Outcasts,UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR)
Joined Countries Modern Improvement Association (UNIDO),Joined Countries Modern Improvement Association,UNITED NATIONS INDUSTRIAL DEVELOPMENT ORGANIZATION (UNIDO)
WESTERN EUROPEAN Association (WEU),WESTERN EUROPEAN Association,WESTERN EUROPEAN UNION (WEU)
WORLD Wellbeing Association (WHO),WORLD Wellbeing Association,WORLD HEALTH ORGANIZATION (WHO)
WORLD Exchange Association (WTO),WORLD Exchange Association,WORLD TRADE ORGANIZATION (WTO)
